                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.364,                 3.2479,                  1.526,                0.59554,                 0.6867,                0.70471,                0.46292,                 1.2565,                 1.7275,                  1.471,               9.57e-05,               9.57e-05,               9.57e-05
                      2,                 1.2474,                  1.461,                 1.3858,                0.69992,                0.73659,                0.81937,                0.53662,                 1.2665,                 1.9695,                 1.5531,             0.00019556,             0.00019556,             0.00019556
                      3,                 1.2246,                 1.2181,                 1.3708,                0.74973,                 0.7359,                0.82009,                0.52829,                 1.2211,                 1.9103,                 1.5279,             0.00029521,             0.00029521,             0.00029521
                      4,                 1.2104,                 1.0832,                 1.3457,                0.76098,                0.81846,                0.84585,                0.52781,                 1.2653,                 1.7677,                 1.5207,             0.00039467,             0.00039467,             0.00039467
                      5,                 1.1986,                 0.9982,                  1.345,                0.71139,                 0.7972,                0.82626,                0.51887,                 1.2944,                  1.757,                 1.6385,             0.00043328,             0.00043328,             0.00043328
                      6,                 1.2119,                0.91758,                 1.3816,                0.76945,                0.83142,                 0.8506,                0.52477,                  1.268,                 1.7128,                 1.6024,             0.00043328,             0.00043328,             0.00043328
                      7,                 1.1957,                0.85046,                 1.3699,                0.81293,                0.80637,                0.86903,                0.54535,                 1.2596,                 1.0278,                  1.604,             0.00043285,             0.00043285,             0.00043285
                      8,                  1.174,                0.80768,                 1.3378,                0.76304,                0.85249,                0.88455,                0.56195,                 1.2795,                 1.0621,                 1.5357,             0.00043242,             0.00043242,             0.00043242
                      9,                 1.1748,                0.77549,                 1.3523,                0.80197,                0.78617,                0.85647,                 0.5428,                 1.2586,                0.91004,                 1.5229,             0.00043199,             0.00043199,             0.00043199
                     10,                 1.1604,                0.75802,                  1.348,                 0.8604,                0.84439,                0.90763,                0.57997,                 1.2103,                0.68942,                 1.4781,             0.00043155,             0.00043155,             0.00043155
                     11,                 1.1543,                0.73233,                 1.3491,                0.87721,                0.82354,                0.89657,                0.56144,                  1.214,                0.69686,                 1.4677,             0.00043112,             0.00043112,             0.00043112
                     12,                 1.1473,                0.70487,                 1.3328,                 0.8135,                0.86285,                0.90679,                0.59861,                  1.244,                 0.7261,                  1.509,             0.00043069,             0.00043069,             0.00043069
                     13,                 1.1433,                0.69162,                  1.329,                0.82525,                0.84604,                0.88546,                0.57343,                 1.2613,                0.71857,                 1.5494,             0.00043026,             0.00043026,             0.00043026
                     14,                 1.1182,                0.69596,                 1.3073,                 0.8412,                0.83711,                0.89743,                0.57314,                 1.2544,                0.71567,                 1.5332,             0.00042983,             0.00042983,             0.00042983
                     15,                  1.105,                0.65799,                 1.3026,                0.90757,                0.85581,                  0.923,                  0.615,                 1.2055,                0.62532,                 1.4989,              0.0004294,              0.0004294,              0.0004294
                     16,                 1.0918,                0.62632,                 1.3069,                0.86031,                0.84682,                  0.906,                0.57519,                 1.2493,                0.66503,                 1.5407,             0.00042897,             0.00042897,             0.00042897
                     17,                 1.0901,                0.61623,                 1.3049,                0.85661,                0.88232,                0.90803,                0.58855,                 1.2281,                0.61211,                 1.4964,             0.00042854,             0.00042854,             0.00042854
                     18,                 1.0813,                0.63267,                 1.2858,                0.87101,                0.86294,                0.90954,                0.59242,                 1.1963,                0.58911,                 1.4709,             0.00042811,             0.00042811,             0.00042811
                     19,                 1.0739,                0.61567,                 1.2941,                0.89771,                0.80822,                0.88925,                0.58899,                 1.2187,                0.59477,                 1.5074,             0.00042768,             0.00042768,             0.00042768
                     20,                 1.0476,                0.58778,                 1.2541,                0.90676,                0.76559,                 0.8811,                0.56771,                 1.2342,                0.72376,                 1.5053,             0.00042725,             0.00042725,             0.00042725
                     21,                 1.0297,                0.57276,                 1.2551,                0.88811,                0.84201,                0.92286,                0.60943,                 1.2161,                0.62539,                 1.4662,             0.00042682,             0.00042682,             0.00042682
                     22,                 1.0354,                0.57303,                 1.2574,                0.85061,                0.90794,                0.93928,                0.61557,                 1.2293,                 0.5839,                 1.4627,             0.00042639,             0.00042639,             0.00042639
                     23,                 1.0278,                0.57751,                 1.2603,                0.86125,                0.84857,                0.91219,                0.58876,                 1.2204,                0.60746,                 1.4889,             0.00042596,             0.00042596,             0.00042596
                     24,                  1.006,                0.55948,                 1.2364,                0.86878,                0.91194,                0.92345,                 0.6085,                 1.2207,                0.55729,                 1.4976,             0.00042553,             0.00042553,             0.00042553
                     25,                0.99679,                0.54578,                 1.2252,                0.86673,                 0.9069,                0.91455,                0.60213,                 1.2115,                0.57829,                 1.5069,              0.0004251,              0.0004251,              0.0004251
                     26,                 1.0003,                0.55336,                 1.2393,                0.83972,                0.90248,                0.92431,                0.58288,                 1.2275,                0.60507,                 1.5241,             0.00042466,             0.00042466,             0.00042466
                     27,                 1.0039,                0.54928,                 1.2461,                0.84449,                0.89454,                0.91686,                0.60183,                 1.2456,                0.57464,                 1.5176,             0.00042423,             0.00042423,             0.00042423
                     28,                 1.0005,                0.53925,                 1.2358,                 0.8865,                0.85757,                0.92643,                0.61153,                 1.2346,                0.59753,                  1.489,              0.0004238,              0.0004238,              0.0004238
                     29,                0.97751,                0.52657,                 1.2081,                0.86502,                0.88957,                0.93357,                0.61398,                 1.2567,                0.57412,                 1.4849,             0.00042337,             0.00042337,             0.00042337
                     30,                0.99395,                0.54415,                 1.2359,                0.86105,                0.91144,                0.93086,                0.61499,                 1.2438,                0.55915,                 1.4933,             0.00042294,             0.00042294,             0.00042294
                     31,                0.96357,                 0.5223,                 1.2066,                0.92134,                0.81938,                0.92516,                0.60657,                 1.2215,                0.54569,                 1.4565,             0.00042251,             0.00042251,             0.00042251
                     32,                0.94819,                0.50808,                 1.1952,                0.90664,                0.89621,                0.93719,                0.64202,                 1.1921,                0.53602,                  1.493,             0.00042208,             0.00042208,             0.00042208
                     33,                0.93128,                0.50119,                 1.2034,                  0.861,                0.88203,                0.91646,                0.60044,                 1.2244,                0.55031,                 1.4668,             0.00042165,             0.00042165,             0.00042165
                     34,                0.92292,                0.50601,                 1.1751,                0.86273,                0.87134,                0.90192,                0.59429,                 1.1861,                0.55489,                 1.4718,             0.00042122,             0.00042122,             0.00042122
                     35,                0.93242,                0.50055,                  1.204,                0.85853,                0.89599,                0.92089,                0.58291,                 1.2472,                0.57587,                 1.5053,             0.00042079,             0.00042079,             0.00042079
                     36,                0.93083,                0.50154,                 1.1873,                0.85401,                0.87286,                0.90413,                0.57824,                 1.2099,                0.55692,                 1.4942,             0.00042036,             0.00042036,             0.00042036
                     37,                0.88685,                0.47681,                 1.1716,                 0.8355,                0.88982,                0.90591,                0.60191,                 1.2299,                0.56759,                 1.5172,             0.00041993,             0.00041993,             0.00041993
                     38,                0.91236,                0.49403,                 1.1798,                0.88068,                0.87082,                0.93203,                0.61519,                 1.2295,                0.54666,                 1.5311,              0.0004195,              0.0004195,              0.0004195
                     39,                0.89321,                 0.4795,                 1.1793,                0.85798,                0.89619,                 0.9287,                0.60414,                 1.2273,                0.57429,                 1.5002,             0.00041907,             0.00041907,             0.00041907
                     40,                0.89277,                0.48257,                  1.177,                0.88794,                0.89264,                0.93377,                0.61836,                 1.2364,                0.54709,                 1.5221,             0.00041864,             0.00041864,             0.00041864
                     41,                0.87347,                0.46448,                 1.1578,                0.86209,                0.92956,                0.94565,                0.62913,                 1.2032,                0.53028,                 1.5016,              0.0004182,              0.0004182,              0.0004182
                     42,                 0.8617,                0.45548,                 1.1449,                 0.9027,                0.85484,                0.92175,                0.59985,                  1.264,                0.56546,                 1.5416,             0.00041777,             0.00041777,             0.00041777
                     43,                 0.8707,                0.46467,                 1.1503,                0.92105,                0.86421,                0.93946,                0.62208,                 1.2339,                0.54244,                 1.5235,             0.00041734,             0.00041734,             0.00041734
                     44,                0.86036,                0.45513,                 1.1292,                0.86145,                0.85274,                0.89061,                0.58606,                 1.2161,                0.59798,                 1.5079,             0.00041691,             0.00041691,             0.00041691
                     45,                0.81875,                0.43916,                 1.1265,                 0.9031,                0.89389,                0.93238,                0.63316,                 1.2237,                0.54235,                 1.5037,             0.00041648,             0.00041648,             0.00041648
                     46,                0.85418,                 0.4465,                 1.1398,                0.85985,                0.88575,                0.90928,                0.59608,                 1.2288,                0.55602,                 1.5182,             0.00041605,             0.00041605,             0.00041605
                     47,                0.84732,                0.45171,                 1.1298,                0.86755,                0.91318,                0.94854,                0.61093,                 1.2547,                0.59399,                 1.5707,             0.00041562,             0.00041562,             0.00041562
                     48,                0.83901,                0.44678,                 1.1388,                0.90463,                0.85448,                0.94247,                 0.6115,                 1.2063,                0.53505,                 1.5353,             0.00041519,             0.00041519,             0.00041519
                     49,                0.82359,                0.44314,                 1.1255,                0.86524,                0.92369,                 0.9109,                0.57384,                 1.2165,                0.54419,                 1.5304,             0.00041476,             0.00041476,             0.00041476
                     50,                 0.8091,                0.43021,                 1.1206,                0.88893,                0.88253,                0.92192,                 0.5986,                  1.217,                0.52172,                  1.536,             0.00041433,             0.00041433,             0.00041433
                     51,                0.82963,                0.43959,                 1.1449,                0.84541,                0.87885,                  0.905,                0.60065,                 1.2482,                0.54854,                 1.5654,              0.0004139,              0.0004139,              0.0004139
                     52,                0.81402,                0.43574,                 1.1216,                0.82991,                0.92101,                0.91925,                0.59903,                 1.2066,                0.53778,                 1.5628,             0.00041347,             0.00041347,             0.00041347
                     53,                0.80875,                0.43158,                 1.1253,                0.92085,                0.88433,                0.94501,                0.61272,                 1.2327,                0.52592,                 1.5657,             0.00041304,             0.00041304,             0.00041304
                     54,                0.79385,                0.42773,                 1.1135,                0.88869,                0.91831,                0.94061,                0.61709,                  1.242,                0.52236,                 1.5834,             0.00041261,             0.00041261,             0.00041261
                     55,                0.79232,                0.42169,                 1.1088,                0.84238,                0.90586,                0.92124,                0.60167,                 1.2442,                0.54023,                 1.5504,             0.00041218,             0.00041218,             0.00041218
                     56,                0.77757,                0.42692,                  1.091,                0.88386,                0.86718,                0.92092,                0.59449,                 1.2454,                0.54391,                 1.5394,             0.00041174,             0.00041174,             0.00041174
                     57,                 0.7805,                0.42158,                 1.0863,                0.83881,                0.91681,                0.91393,                0.59624,                 1.2734,                0.55066,                 1.5568,             0.00041131,             0.00041131,             0.00041131
                     58,                0.78249,                0.42718,                 1.1146,                0.88494,                0.89882,                0.94412,                0.61805,                 1.2278,                0.52404,                 1.5225,             0.00041088,             0.00041088,             0.00041088
                     59,                0.76163,                0.41214,                 1.0941,                0.90371,                0.93239,                0.95285,                0.64116,                 1.2128,                0.51082,                   1.53,             0.00041045,             0.00041045,             0.00041045
                     60,                0.77637,                0.41964,                 1.1076,                0.87659,                 0.9237,                0.93213,                0.61794,                 1.2367,                0.50924,                 1.5542,             0.00041002,             0.00041002,             0.00041002
                     61,                0.74885,                0.40953,                 1.0837,                0.89763,                0.88329,                0.93307,                 0.6104,                  1.226,                0.49866,                  1.575,             0.00040959,             0.00040959,             0.00040959
                     62,                0.76233,                0.40546,                 1.0847,                0.89419,                0.90752,                0.93182,                0.61893,                 1.2276,                 0.5147,                  1.577,             0.00040916,             0.00040916,             0.00040916
                     63,                0.74307,                0.39598,                 1.0829,                0.88272,                0.89193,                0.92803,                0.61437,                  1.243,                0.54506,                 1.5924,             0.00040873,             0.00040873,             0.00040873
                     64,                0.73669,                 0.4035,                 1.0877,                0.85003,                0.91312,                0.91951,                0.60695,                 1.2438,                0.57017,                 1.5826,              0.0004083,              0.0004083,              0.0004083
                     65,                0.74244,                0.39939,                 1.0758,                0.89159,                0.91068,                0.93976,                0.61983,                 1.2569,                0.54128,                 1.6132,             0.00040787,             0.00040787,             0.00040787
                     66,                0.74481,                0.40107,                 1.0807,                0.87737,                0.92447,                0.94462,                0.62672,                  1.258,                0.54303,                 1.6275,             0.00040744,             0.00040744,             0.00040744
                     67,                0.73031,                0.39728,                 1.0698,                0.84686,                0.93264,                0.93345,                0.62786,                 1.2443,                0.54068,                 1.6083,             0.00040701,             0.00040701,             0.00040701
                     68,                0.73502,                0.39732,                 1.0881,                0.91481,                 0.9157,                0.93105,                 0.6092,                 1.2463,                0.54019,                  1.606,             0.00040658,             0.00040658,             0.00040658
                     69,                 0.7072,                0.38669,                 1.0678,                0.88945,                0.89416,                0.92446,                0.61515,                 1.2551,                0.54927,                 1.6368,             0.00040615,             0.00040615,             0.00040615
                     70,                0.73441,                0.39285,                 1.0801,                0.87371,                 0.9354,                0.92672,                0.61055,                 1.2454,                0.54772,                 1.6391,             0.00040572,             0.00040572,             0.00040572
                     71,                0.71673,                0.38201,                  1.074,                0.89389,                 0.9044,                 0.9307,                0.61535,                 1.2622,                0.52318,                 1.6456,             0.00040529,             0.00040529,             0.00040529
                     72,                0.70019,                0.37472,                 1.0613,                0.88679,                0.88983,                0.93214,                0.62038,                 1.2391,                0.53264,                 1.6335,             0.00040485,             0.00040485,             0.00040485
                     73,                0.69927,                0.37223,                 1.0574,                0.89661,                0.88839,                0.92841,                0.60852,                 1.2451,                0.51903,                 1.5991,             0.00040442,             0.00040442,             0.00040442
                     74,                0.69525,                0.37179,                   1.06,                0.89912,                0.89076,                0.92977,                0.61388,                 1.2562,                 0.5238,                 1.6474,             0.00040399,             0.00040399,             0.00040399
